,Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
2922,Volkswagen,vento,2013,2.5 Luxury 170cv,87000,399000,4.0,sedan,Bs.as. G.b.a. Oeste
2923,Honda,fit,2012,1.4 Lx-l Mt 100cv l12,119000,245000,5.0,hatchback,Bs.as. G.b.a. Sur
2924,Volkswagen,gol,2012,1.4 Power Ps+ac 83cv,55000,155000,5.0,hatchback,Mendoza
2925,Mercedes Benz,clase_glk,2013,3.5 Glk300 4matic Sport 247cv At,80000,850000,5.0,suv,Capital Federal
2926,Volkswagen,suran,2014,1.6 Highline 101cv,83000,240000,5.0,minivan,Córdoba
2927,Volkswagen,vento,2012,2.5 Luxury 170cv,132000,389000,4.0,sedan,Córdoba
2928,Volkswagen,saveiro,2016,1.6 Gp Cs 101cv Safety,29000,295000,2.0,pick_up,Santa Fe
2929,Volkswagen,suran,2013,1.6 Highline 101cv 11c,61000,275000,5.0,minivan,Bs.as. G.b.a. Sur
2930,Ford,ecosport,2014,2.0 Titanium Powershift 4x2 Dps6,42000,370000,5.0,suv,Bs.as. G.b.a. Sur
2931,Volkswagen,voyage,2011,1.6 Comfortline 101cv,75000,180000,4.0,sedan,Capital Federal
2932,Ford,fiesta_kinetic_design,2016,1.6 S 120cv,10700,320000,5.0,hatchback,Córdoba
2933,Ford,focus_ii,2012,1.6 Trend Sigma,37000,200000,5.0,hatchback,Bs.as. G.b.a. Oeste
2934,Honda,cr_v,2011,2.4 Ex L At 4wd,93000,440000,5.0,suv,Bs.as. G.b.a. Norte
2935,Ford,ecosport,2013,1.6 Se 110cv 4x2,79000,292800,5.0,suv,Bs.as. G.b.a. Norte
2936,Ford,focus_ii,2011,1.6 Style Sigma,94000,253000,5.0,hatchback,Córdoba
2937,Ford,ecosport,2015,1.6 Freestyle 110cv 4x2,60000,349990,5.0,suv,Capital Federal
2938,Ford,ecosport,2013,1.6 Titanium 110cv 4x2,88000,294900,5.0,suv,Capital Federal
2939,Honda,fit,2012,1.4 Lx-l Mt 100cv l12,118000,310000,5.0,hatchback,Bs.as. G.b.a. Sur
2940,Ford,ecosport,2012,2.0 My10 Xls 4x2,82000,235000,5.0,suv,Capital Federal
2941,Honda,city,2011,1.5 Lx Mt 120cv,98000,220000,4.0,sedan,Santa Fe
2942,Ford,focus_ii,2013,2.0 Exe Sedan Trend Plus,75000,295000,4.0,sedan,Buenos Aires Interior
2943,Volkswagen,amarok,2015,2.0 Cd Tdi 140cv 4x2 Startline,90000,625000,4.0,pick_up,Entre Ríos
2944,Mercedes Benz,sprinter,2012,2.1 313 Furgon 3000 V2 (g1da6),90000,550000,2.0,furgon,Bs.as. G.b.a. Oeste
2945,Ford,fiesta_kinetic_design,2015,1.6 Se 120cv,20000,375000,5.0,hatchback,Capital Federal
2946,Volkswagen,fox,2011,1.6 Confortline,97001,190001,5.0,hatchback,Capital Federal
2947,Ford,ecosport,2015,1.6 Se 110cv 4x2,66500,420000,5.0,suv,Bs.as. G.b.a. Sur
2948,Volkswagen,gol_trend,2012,1.6 Pack I Plus 101cv,80000,190000,5.0,hatchback,Capital Federal
2949,Volkswagen,suran,2017,1.6 Trendline,20000,425000,5.0,minivan,Bs.as. G.b.a. Norte
2950,Ford,ka,2012,1.6 Fly Viral 95cv,85000,140000,3.0,hatchback,Bs.as. G.b.a. Sur
2951,Volkswagen,fox,2016,1.6 Trendline,26000,320000,5.0,hatchback,Córdoba
2952,Volkswagen,bora,2012,2.0 Trendline 115cv,54500,265000,4.0,sedan,Capital Federal
2953,Volkswagen,suran,2011,1.6 Highline 101cv 11c,97000,195000,5.0,minivan,Capital Federal
2954,Ford,ka,2012,1.6 Fly Viral 95cv,44000,155000,3.0,hatchback,Río Negro
2955,Ford,focus_iii,2015,1.6 S,45000,399900,5.0,hatchback,Bs.as. G.b.a. Oeste
2956,Ford,ecosport,2013,1.6 Freestyle 110cv 4x2,88250,365000,5.0,suv,Bs.as. G.b.a. Sur
